ID_REF	VALUE	5455178010_I.Avg_NBEADS	5455178010_I.BEAD_STDERR	5455178010_I.Detection Pval
ILMN_2378555	76.01231	12	3.96318	0.9935065
ILMN_1661434	91.61568	24	6.334968	0.761039
ILMN_1809623	87.5619	27	4.469119	0.8662338
ILMN_1657592	90.25693	31	4.212245	0.8012987
ILMN_1765912	108.3545	21	6.510363	0.2896104
ILMN_1746128	120.4145	15	9.567639	0.07012987
ILMN_1685952	91.86202	28	5.123629	0.7467533
ILMN_1662738	95.19234	19	7.46647	0.6675324
ILMN_1771084	108.9429	29	4.976318	0.2753247
ILMN_1791923	93.06646	21	2.887389	0.7233766
ILMN_1801698	106.7001	24	6.883789	0.3220779
ILMN_1766966	101.1692	20	6.454105	0.4909091
ILMN_2070792	104.2446	15	7.493792	0.3987013
ILMN_1752269	166.4311	20	11.60036	0
ILMN_1697510	101.0028	24	6.825149	0.4974026
ILMN_2254962	84.34573	25	3.394795	0.9194805
ILMN_2336595	404.338	24	16.75757	0
ILMN_1714197	476.1479	19	20.10455	0
ILMN_1742859	103.8346	21	4.411734	0.4051948
ILMN_1659885	104.7582	20	9.179049	0.3805195
ILMN_2125869	94.0304	23	5.309074	0.6922078
ILMN_1671703	170.5231	20	8.760463	0
ILMN_2152131	15529.11	26	802.8802	0
ILMN_1777296	6377.172	29	281.4933	0
ILMN_2038777	7982.926	22	281.2258	0
ILMN_3246895	88.78997	20	5.243707	0.8350649
ILMN_1658660	95.37843	32	4.900728	0.6558442
ILMN_1829919	115.1591	25	7.408578	0.1350649
ILMN_2053178	17425.13	21	731.8842	0
ILMN_1704961	1665.848	25	66.53551	0
ILMN_1795325	84.29142	24	4.081176	0.9194805
ILMN_1749297	447.4099	24	22.90402	0
ILMN_2328280	276.8466	23	14.44707	0
ILMN_1657855	110.8576	19	7.13572	0.2298701
ILMN_1717900	91.26189	33	4.128098	0.7701299
ILMN_1796088	102.8995	19	4.565845	0.448052
ILMN_1704078	100.0383	23	6.643911	0.5311688
ILMN_2232177	116.3263	25	5.593216	0.1181818
ILMN_1654422	101.6846	20	7.13604	0.4779221
ILMN_1665691	98.26422	22	6.953769	0.5805195
ILMN_1725534	820.3136	25	39.05009	0
ILMN_1798254	566.4435	21	24.53773	0
ILMN_1792314	376.0487	26	13.89408	0
ILMN_1695821	423.8224	16	17.75176	0
ILMN_2388605	2313.727	10	220.5815	0
ILMN_1657153	1227.09	22	52.59422	0
ILMN_2260392	107.2969	18	6.677668	0.3064935
ILMN_2346451	100.3791	21	4.724131	0.5220779
ILMN_1787513	110.3862	27	4.78112	0.2402597
ILMN_1680941	104.7758	21	4.803489	0.3805195
ILMN_1652594	169.6209	15	10.7705	0
ILMN_1697585	276.3961	19	13.35912	0
ILMN_1689162	132.0055	22	6.239472	0.01818182
ILMN_1815392	131.6396	21	8.146834	0.01818182
ILMN_3241416	93.66345	24	6.049742	0.7064935
ILMN_1760490	299.2591	28	13.05089	0
ILMN_1786544	90.91726	13	5.944092	0.7831169
ILMN_1763916	94.88788	27	4.515543	0.6727273
ILMN_2243308	163.7601	23	8.430985	0
ILMN_1766723	90.07188	25	4.174729	0.8038961
ILMN_1689217	111.7396	16	7.450335	0.2090909
ILMN_1670912	117.8441	22	8.452784	0.1012987
ILMN_2152711	161.8766	31	6.63247	0
ILMN_1668983	93.71434	19	4.426054	0.7025974
ILMN_1824337	96.53799	19	4.754711	0.6311688
ILMN_1807493	93.01884	18	5.196708	0.7246753
ILMN_3250257	95.7292	19	6.511675	0.648052
ILMN_1683883	126.4097	28	7.086548	0.03246753
ILMN_1670193	83.89203	19	5.767636	0.9207792
ILMN_2319825	185.679	22	13.06943	0
ILMN_1694233	178.6954	22	7.584561	0
ILMN_1686432	92.36956	23	6.294405	0.7376623
ILMN_1697550	122.0502	25	4.761209	0.06103896
